6.575,0.11996,NaN,NaN,0.020544,0.13508,0.1528,0.064444,0.12504,NaN,NaN,NaN,0.26276,NaN,0.14367,0.076724,NaN,NaN
7.895,0.068879,NaN,NaN,0.029777,0.16678,0.12594,NaN,0.11262,NaN,NaN,NaN,0.27169,NaN,0.1218,0.068626,NaN,NaN
9.48,0.084077,NaN,NaN,0.02468,0.22546,0.12079,NaN,0.052367,NaN,NaN,NaN,0.21007,NaN,0.098376,0.039739,NaN,NaN
11.39,0.1364,NaN,0.19771,0.029404,0.26875,0.13148,0.11149,0.026732,NaN,NaN,NaN,0.16557,NaN,0.065306,0.057848,NaN,NaN
13.695,0.14315,0.15615,0.24863,0.12942,0.27538,0.1251,0.12259,0.052367,0.25233,NaN,0.28514,0.14695,0.17844,0.024676,0.080168,0.23231,NaN
16.475,0.10819,0.070801,0.24801,0.15137,0.17484,0.084955,0.15273,0.091766,0.18475,-0.0076385,0.26775,0.10172,0.16409,0.02764,0.075418,0.20218,0.079062
19.835,0.023235,0.043625,0.13798,0.1094,0.10318,0.094098,0.10575,0.11037,0.16681,0.026135,0.26583,0.10045,0.057224,0.01161,0.08435,0.14846,0.069902
23.905,-0.017569,0.044889,0.10692,0.080798,0.084935,0.056884,0.064461,0.052906,0.15599,0.049195,0.23779,0.088523,0.062407,0.013195,0.072244,0.12078,0.065851
28.845,0.029265,0.063861,0.10944,0.072007,0.074164,0.046962,0.067535,0.062854,0.10629,0.081734,0.18439,0.099487,0.059894,0.021762,0.078382,0.10735,0.079272
34.855,0.1105,0.067019,0.11416,0.066179,0.069662,0.054648,0.048935,0.051795,0.11822,0.072271,0.15094,0.095746,0.054627,0.015379,0.063222,0.12345,0.075304
42.21,0.12788,0.068218,0.13046,0.062428,0.068701,0.06265,0.040762,0.04875,0.12187,0.091815,0.18873,0.090438,0.050731,0.032021,0.048141,0.14223,0.078225
51.24,0.16278,0.065967,0.14029,0.062008,0.073205,0.058998,0.038314,0.039783,0.13785,0.094233,0.19182,0.088393,0.038747,0.028422,0.039695,0.15818,0.07765
62.39,0.14896,0.066229,0.14486,0.059432,0.078768,0.061755,0.036257,0.035406,0.13374,0.090838,0.18029,0.085924,0.030611,0.030122,0.033591,0.15196,0.075606
76.265,0.14971,0.066086,0.14607,0.058608,0.082384,0.064641,0.033922,0.032575,0.13563,0.094981,0.19264,0.082899,0.024954,0.031277,0.02797,0.15601,0.075644
93.69,0.17751,0.06567,0.14957,0.056467,0.091877,0.067353,0.033292,0.029168,0.13773,0.10081,0.18522,0.079576,0.02127,0.026418,0.02257,0.16251,0.075631
115.81,0.16335,0.065796,0.15339,0.054811,0.10052,0.073818,0.032189,0.025916,0.13922,0.099368,0.19144,0.076686,0.01672,0.022793,0.016503,0.16185,0.074165
144.27,0.18537,0.065957,0.15287,0.053765,0.10916,0.078889,0.030186,0.021795,0.14155,0.10015,0.18866,0.074253,0.011803,0.017895,0.010053,0.16711,0.07353
181.45,0.18926,0.067772,0.15036,0.053534,0.11584,0.083977,0.028385,0.017552,0.1436,0.10272,0.18674,0.071409,0.0059901,0.012878,0.0027864,0.16749,0.073858
230.85,0.1763,0.0682,0.14546,0.05424,0.12092,0.087051,0.027091,0.01422,0.14687,0.107,0.19129,0.069898,-0.0003256,0.0099343,-0.0026287,0.16498,0.074835
297.63,0.15538,0.069729,0.13908,0.052948,0.12963,0.091738,0.029506,0.015367,0.15021,0.10154,0.16365,0.071446,-0.0048205,0.0040619,8.8347e-05,0.15208,0.073916
389.3,0.11859,0.073838,0.16418,0.053374,0.13967,0.11807,0.034032,0.021151,0.14047,0.11887,0.14925,0.072829,-2.8831e-05,0.033701,0.003436,0.14312,0.079728
516.69,0.13253,0.06385,0.19905,0.056545,0.13909,0.077295,0.039068,0.035548,0.20613,0.1791,0.24726,0.077261,0.0030065,0.0064684,0.0043066,0.19624,0.094189
695.33,0.21336,0.062233,0.24446,0.064437,0.20214,0.071704,0.046754,0.033621,0.2638,0.30668,0.24183,0.070158,0.0099764,-0.0010683,0.0078292,0.24086,0.12588
947.49,0.20836,0.057835,0.36036,0.053962,0.31051,0.13702,0.041833,0.023022,0.24592,0.23206,0.24463,0.12855,0.0076122,-0.001233,0.0092463,0.26482,0.1181
