,Time,,,,,,,,,,,,,,,,,CFM,,,,,,,,,,,,,,,,
Bins,AANP hi,AANP lo,AAP hi,AAP lo,BF hi,BF lo,H hi,H lo,HX hi,HX lo,IQ hi,IQ lo,NF,SHAM hi,SHAM lo,AVG hi,AVG lo,AANP hi,AANP lo,AAP hi,AAP lo,BF hi,BF lo,H hi,H lo,HX hi,HX lo,IQ hi,IQ lo,NF,SHAM hi,SHAM lo,AVG hi,AVG lo
6.575,-1.3645,NaN,NaN,-5.4465,1,0.9909,0.98327,-3.2471,NaN,NaN,#NAME?,0.99998,#NAME?,0.74416,-17.7,NaN,NaN,#NAME?,NaN,NaN,0.33253,1,0.89524,0.40779,-15.431,#NAME?,#NAME?,NaN,0.44588,#NAME?,-49.956,-31.68,NaN,NaN
7.895,-0.064715,NaN,#NAME?,-4.2485,1,0.98073,#NAME?,0.24316,NaN,NaN,#NAME?,0.99974,#NAME?,0.45121,-7.818,NaN,NaN,NaN,NaN,NaN,0.46331,1,0.51231,#NAME?,-3.9007,#NAME?,#NAME?,NaN,0.54515,#NAME?,-0.096264,-2.1251,NaN,NaN
9.48,0.4347,NaN,#NAME?,-2.4857,1,0.94681,#NAME?,0.91002,NaN,NaN,#NAME?,0.99768,#NAME?,-2.4333,-3.6111,NaN,NaN,#NAME?,NaN,NaN,0.50292,1,0.81945,#NAME?,-0.056868,#NAME?,#NAME?,NaN,0.67952,#NAME?,0.6475,-7.1479,NaN,NaN
11.39,0.87897,NaN,-1356.5,-24.662,0.99853,0.79946,-143.35,0.7858,NaN,NaN,#NAME?,0.97336,#NAME?,-136.08,0.0090037,NaN,NaN,#NAME?,#NAME?,1,0.25672,1,0.77219,-30.355,0.78249,#NAME?,#NAME?,0.50838,0.91438,#NAME?,0.65184,0.40952,#NAME?,#NAME?
13.695,0.92998,0.79796,-18.742,-134.87,-6.9167,0.47312,-3.2672,0.81742,0.93275,NaN,0.99968,0.8552,-113,-4.5476,0.60569,-3.97,NaN,-2023.3,-14.616,0.98454,0.47126,0.99963,0.46525,-1.2722,0.89533,-4.25,#NAME?,0.56245,0.75895,-14854,-2.0898,0.04856,-506.51,#NAME?
16.475,0.88661,0.83195,0.98762,-0.37525,-5.3611,0.75669,0.8011,0.94972,0.82962,-43.418,0.99681,0.93786,-6.3,0.29888,-66.53,0.92516,-10.506,-0.55358,-3.2094,0.96373,0.28803,0.9785,-2.0157,0.58035,0.87205,0.91669,0.34314,0.48324,0.8363,-327.56,-0.25866,0.44784,0.45252,-0.43549
19.835,0.80888,0.70802,0.77287,-0.32424,0.94318,0.9751,0.81949,0.96517,0.71317,-33.027,0.998,0.91726,-0.27576,-0.86412,-6.4475,0.82323,-7.9314,0.49744,0.33594,-0.39957,0.21396,0.84477,0.13839,0.47623,0.069174,0.94469,0.47524,0.45415,0.73162,0.57429,-0.54189,0.20503,0.37418,0.43919
23.905,0.42708,0.88442,-1.234,0.93474,0.92118,0.9316,0.62194,0.43866,0.97427,-0.042337,0.98687,0.90132,0.75843,-0.024803,0.48604,0.28856,0.66954,-73.693,0.52673,-0.4737,0.73827,0.85478,0.84847,0.63725,-0.40556,0.93745,-1.7019,0.40033,0.75041,0.51076,0.0428,0.73062,-18.207,0.078381
28.845,0.49662,0.86907,0.74433,0.83492,0.86675,0.3916,0.81255,0.83457,0.65717,0.7737,0.95545,0.92974,0.69604,-0.40334,0.8463,0.71339,0.85186,-8.9632,0.60729,0.53115,0.74659,0.7399,0.79056,0.56445,0.57431,0.73585,0.73908,0.35029,0.74327,0.19855,-0.029869,0.74283,-1.8365,0.70906
34.855,0.919,0.84383,0.94651,0.84301,0.86341,0.67699,0.77471,0.79802,0.94869,0.79717,0.96895,0.92478,0.77531,0.56264,0.8601,0.94579,0.8522,0.56896,0.52138,0.29488,0.56509,0.7485,0.72035,0.57398,-0.050018,0.7627,0.68693,0.39865,0.73871,0.038161,-0.086781,0.57987,0.5063,0.62802
42.21,0.98125,0.8722,0.9687,0.83909,0.84095,0.84123,0.68018,0.76354,0.95891,0.93155,0.97297,0.91904,0.7822,0.58287,0.7516,0.97046,0.89047,0.71177,0.52876,0.49893,0.57154,0.76709,0.81711,0.48119,0.55724,0.82507,0.87103,0.2947,0.71742,0.020452,0.19707,0.45627,0.58262,0.67219
51.24,0.99179,0.85584,0.98074,0.83158,0.87278,0.82158,0.68377,0.66407,0.97755,0.93609,0.98888,0.91776,0.7098,0.43116,0.67718,0.98474,0.88532,0.41823,0.56575,0.51765,0.51928,0.80561,0.81448,0.40838,0.5302,0.80423,0.81733,0.40942,0.68899,0.10333,0.033465,0.38494,0.53738,0.64784
62.39,0.97043,0.84865,0.98499,0.82028,0.89241,0.82718,0.65783,0.63785,0.97001,0.93498,0.99015,0.91031,0.57714,0.59184,0.61809,0.97889,0.87855,0.60664,0.56491,0.50788,0.52525,0.80583,0.85288,0.39207,0.50488,0.78511,0.7807,0.41463,0.66988,0.09913,0.067923,0.35673,0.57856,0.63519
76.265,0.9043,0.84548,0.98183,0.82166,0.90209,0.84008,0.62002,0.62777,0.97594,0.93565,0.98214,0.90445,0.53631,0.55032,0.55893,0.96105,0.87681,0.51737,0.53998,0.54559,0.51542,0.82467,0.87035,0.35551,0.45813,0.7856,0.84466,0.43473,0.64687,0.078118,0.16768,0.30909,0.57082,0.63673
93.69,0.99365,0.84621,0.98051,0.80529,0.92928,0.83551,0.62507,0.56854,0.98026,0.94405,0.98999,0.89733,0.4863,0.51987,0.48676,0.9861,0.87322,0.60649,0.55655,0.53554,0.51355,0.85629,0.88303,0.3532,0.41881,0.77178,0.84011,0.47411,0.62769,0.032731,0.10147,0.25223,0.59698,0.63447
115.81,0.96796,0.84867,0.98404,0.79572,0.94553,0.87218,0.61046,0.52179,0.98204,0.93878,0.98805,0.89188,0.40271,0.48804,0.38354,0.98052,0.86876,0.60738,0.5592,0.51751,0.50057,0.88575,0.89258,0.32867,0.37939,0.76635,0.84007,0.49929,0.61125,0.038238,0.11288,0.19171,0.59763,0.62777
144.27,0.99394,0.8461,0.98681,0.78242,0.95357,0.88763,0.5772,0.45727,0.98351,0.94291,0.98092,0.88757,0.29546,0.40533,0.25547,0.98629,0.86475,0.6173,0.5548,0.55112,0.47995,0.90583,0.91804,0.28974,0.33393,0.76311,0.84995,0.48225,0.58263,0.030951,0.059703,0.11946,0.60344,0.61683
181.45,0.99652,0.85044,0.98283,0.78019,0.9647,0.89687,0.54848,0.37147,0.98036,0.94495,0.9609,0.87447,0.15603,0.34892,0.072954,0.98015,0.86251,0.60947,0.56641,0.56129,0.45859,0.91405,0.93655,0.24388,0.26838,0.75999,0.86748,0.49562,0.54607,0.018343,0.0026846,0.027639,0.60659,0.60964
230.85,0.93725,0.86206,0.9696,0.7913,0.96708,0.88988,0.52679,0.29633,0.98743,0.93731,0.94845,0.86415,-0.0097051,0.18503,-0.061533,0.96068,0.8637,0.62404,0.58075,0.57222,0.44966,0.91779,0.93855,0.21617,0.21599,0.77791,0.84806,0.51795,0.52763,0.01501,0.035399,-0.042512,0.62303,0.60152
297.63,0.6496,0.8864,0.95345,0.7896,0.97027,0.93239,0.56962,0.35239,0.98623,0.94398,0.94103,0.8628,-0.062827,0.026725,0.099266,0.88258,0.8707,0.62352,0.54188,0.67593,0.50363,0.9315,0.81323,0.26895,0.23545,0.76263,0.84794,0.41919,0.57061,0.10229,0.46783,-0.018964,0.62032,0.61601
389.3,0.99122,0.89171,0.94512,0.79771,0.95614,0.95862,0.64662,0.56754,0.97502,0.90015,0.95727,0.85675,0.26945,0.58368,0.18712,0.96716,0.86158,-0.082711,0.50862,0.57434,0.41539,0.93825,0.90138,0.32475,0.069861,0.72044,0.84087,-0.086691,0.57663,0.23576,0.059163,0.079778,0.28134,0.58538
516.69,0.94882,0.85319,0.93383,0.80337,0.97655,0.75947,0.71146,0.67665,0.99368,0.99898,0.97061,0.84439,0.28243,0.43349,0.18221,0.96173,0.87498,0.75325,0.57961,0.3463,0.62483,0.94407,0.91317,0.37807,0.53141,0.71668,0.90732,0.3068,0.48799,0.32626,0.12978,0.12372,0.53076,0.64994
695.33,0.90581,0.76902,0.9858,0.87136,0.98786,0.44394,0.8041,0.53604,0.99516,1,0.99652,0.73391,0.48451,-0.10391,0.29121,0.97082,0.84357,0.7875,0.32675,-0.5232,0.464,0.96723,0.78669,0.30597,0.60078,0.64187,0.91569,0.17952,0.46758,0.49188,-0.14693,0.24904,0.27142,0.54351
947.49,0.99589,0.75485,0.9999,0.78488,0.99937,0.32902,0.51837,0.42502,0.98855,1,0.99955,0.86225,0.5696,-0.057016,0.33951,0.99597,0.85049,0.80673,0.48488,0.011377,0.23622,0.98429,0.41481,0.41331,0.59022,0.90533,0.96074,0.55199,0.6777,0.33748,-0.056825,0.12862,0.56886,0.58988
