0.39988,0.2296,0.28026,0.45466,0.47715,0.36065,0.077449,-0.058562,0.097549,0.36833,0.42627,0.54261,0.49655,0.49903,0.5917,0.54449,0.61791,0.63088,0.58767,0.51793,0.39532,0.44177,0.71121,0.69453
NaN,NaN,NaN,NaN,1.6516,0.74886,0.46142,0.47479,0.67545,0.70885,0.72154,0.69773,0.7005,0.69899,0.69459,0.69592,0.69762,0.71682,0.72135,0.73751,0.78098,0.67534,0.65824,0.61172
NaN,NaN,NaN,0.72193,0.90785,0.90561,0.50383,0.39043,0.39963,0.41685,0.47639,0.51227,0.52896,0.53338,0.54615,0.56011,0.55819,0.54903,0.53115,0.50783,0.59948,0.72682,0.89262,1.3158
0.24563,0.35602,0.29509,0.35157,1.5475,1.8098,1.308,0.96606,0.86095,0.79127,0.74642,0.7414,0.7106,0.70075,0.67515,0.65534,0.64284,0.64008,0.64852,0.63307,0.63817,0.67608,0.77044,0.6452
2.6415,3.2615,4.409,5.2556,5.3851,3.419,2.0177,1.661,1.4503,1.3623,1.3435,1.4316,1.5404,1.6111,1.7967,1.9657,2.1346,2.2652,2.3647,2.5351,2.7313,2.7201,3.953,6.0722
4.8023,3.9583,3.7961,4.1321,3.9318,2.67,2.9574,1.7878,1.476,1.7175,1.969,1.8542,1.9409,2.0316,2.1168,2.32,2.4794,2.6393,2.7359,2.8832,3.7106,2.4293,2.2536,4.3064
0.60075,NaN,NaN,1.0393,1.1428,1.4238,0.98576,0.60091,0.62956,0.45617,0.37999,0.35717,0.33799,0.31622,0.31035,0.30006,0.2814,0.2646,0.25254,0.27506,0.31724,0.3642,0.43584,0.38997
2.0684,1.8629,0.86622,0.44218,0.86622,1.5179,1.8257,0.87514,1.0397,0.85676,0.80639,0.65806,0.58566,0.53883,0.48247,0.42869,0.36051,0.29034,0.23522,0.25419,0.34986,0.58801,0.55613,0.38081
NaN,NaN,NaN,NaN,2.3876,1.7481,1.5784,1.476,1.0057,1.1186,1.1532,1.3044,1.2655,1.2834,1.3032,1.3174,1.3394,1.3588,1.3897,1.4213,1.3292,1.9505,2.4962,2.327
NaN,NaN,NaN,NaN,NaN,-0.089149,0.30502,0.57415,0.95392,0.84348,1.0716,1.0998,1.0602,1.1085,1.1766,1.1597,1.1688,1.1988,1.2488,1.1851,1.3873,2.0903,3.5793,2.7084
NaN,NaN,NaN,NaN,0.80969,0.76031,0.75485,0.67524,0.5236,0.4286,0.53591,0.54469,0.51197,0.54702,0.52595,0.5436,0.53573,0.53028,0.5432,0.4647,0.42382,0.70213,0.68671,0.69466
0.74613,0.77151,0.59653,0.47015,0.41728,0.28884,0.28524,0.25137,0.2825,0.27188,0.25681,0.251,0.24399,0.2354,0.22597,0.21776,0.21085,0.20277,0.19848,0.20288,0.20681,0.21939,0.19922,0.36503
0.4789,0.40599,0.32792,0.21769,0.082253,0.092133,0.038699,0.043984,0.072541,0.051264,0.10674,0.094741,0.10041,0.10426,0.088059,0.075977,0.05965,0.042927,0.033114,0.01354,0.11234,0.021561,-0.0035609,-0.00411
0.8115,0.72585,0.42032,0.61185,0.84794,0.79769,0.89216,0.76412,0.82904,0.66869,0.50918,0.41985,0.35528,0.29583,0.23872,0.17455,0.10633,0.029472,-0.027804,0.00093444,0.036342,0.045551,0.082809,0.097797
