AANP hi,AANP lo,AAP hi,AAP lo,BF hi,BF lo,H hi,H lo,HX hi,HX lo,IQ hi,IQ lo,NF,SHAM hi,SHAM lo,AVG hi,AVG lo
0.088198,NaN,NaN,0.051941,0.21689,0.15119,0.047037,0.18347,NaN,NaN,NaN,0.31147,NaN,0.24628,0.014546,NaN,NaN
0.12128,NaN,NaN,0.0057173,0.24649,0.12702,NaN,0.14515,NaN,NaN,NaN,0.40365,NaN,0.13969,0.020951,NaN,NaN
0.16209,NaN,NaN,0.013047,0.31956,0.15929,NaN,0.090971,NaN,NaN,NaN,0.43319,NaN,0.089452,0.013484,NaN,NaN
0.15376,NaN,0.10397,0.1587,0.37942,0.28376,0.055562,0.067604,NaN,NaN,NaN,0.33521,NaN,0.04205,0.029238,NaN,NaN
0.13488,0.21655,0.19701,0.1928,0.3827,0.31703,0.11359,0.096002,0.28889,NaN,0.53848,0.27516,0.11346,0.01018,0.050461,0.27593,NaN
0.09947,0.19841,0.35414,0.32963,0.45536,0.37636,0.25435,0.15,0.33725,0.0011802,0.66558,0.5319,0.14439,0.12716,0.10928,0.36103,0.26458
0.0052148,0.32573,0.17987,0.36512,0.57907,0.57166,0.31299,0.32854,0.49344,0.012573,0.73316,0.79251,0.068118,0.087541,0.33731,0.38396,0.39936
0.022857,0.53813,0.12797,0.60238,0.86829,0.48104,0.48385,0.43643,0.68576,0.044183,0.61862,0.85888,0.63098,0.22606,0.50629,0.46789,0.49351
0.061358,0.87151,0.41272,0.84158,0.95149,0.50031,0.79423,0.58701,0.62476,0.4227,0.67334,0.91817,0.69894,0.4485,0.86234,0.58632,0.69022
0.38098,0.94488,0.78855,0.933,0.96666,0.73481,0.83983,0.55392,0.85224,0.53383,0.78587,0.97172,0.89587,0.54077,0.96549,0.76902,0.77869
0.59353,0.98293,0.88933,0.9754,0.98355,0.91729,0.92345,0.80534,0.94153,0.94225,0.68445,0.98313,0.91951,0.65267,0.95516,0.83597,0.93439
0.73437,0.99198,0.95847,0.99163,0.99508,0.96362,0.96276,0.94611,0.98148,0.98438,0.87723,0.99185,0.9494,0.67326,0.97963,0.91823,0.97826
0.74773,0.99702,0.98254,0.99561,0.99672,0.98833,0.98221,0.95399,0.98566,0.97814,0.90969,0.99393,0.93545,0.84887,0.98672,0.93409,0.9845
0.74008,0.99812,0.98796,0.99673,0.99509,0.99284,0.98879,0.94822,0.99337,0.99322,0.89369,0.99582,0.93138,0.91898,0.98927,0.93316,0.98749
0.90956,0.99862,0.98607,0.99803,0.9942,0.98897,0.9925,0.97048,0.9983,0.99688,0.91035,0.99716,0.9347,0.94715,0.99113,0.96517,0.99169
0.91398,0.99872,0.99204,0.99877,0.99652,0.99726,0.99551,0.99289,0.99728,0.99611,0.89923,0.99853,0.94345,0.95124,0.99257,0.96576,0.99705
0.9584,0.99867,0.99206,0.99917,0.99744,0.99677,0.99838,0.99669,0.99802,0.99626,0.89983,0.99846,0.98063,0.95453,0.98938,0.97402,0.99767
0.86593,0.99707,0.97623,0.99695,0.99583,0.99046,0.99568,0.97387,0.99291,0.99491,0.82495,0.997,0.90297,0.9034,0.87317,0.94192,0.99171
0.79772,0.99348,0.93852,0.99594,0.99529,0.96833,0.99279,0.89093,0.98617,0.96727,0.62944,0.99384,0.0029382,0.59453,0.53457,0.88999,0.9683
0.61824,0.95522,0.88511,0.98334,0.98058,0.81876,0.98474,0.80649,0.97532,0.91677,0.49041,0.9808,0.14008,0.36946,0.00039499,0.8224,0.91023
0.46775,0.92415,0.74873,0.94681,0.92635,0.82995,0.95545,0.59465,0.96007,0.70156,0.38944,0.95737,1.51E-06,0.49824,0.12337,0.7413,0.82575
0.50631,0.92608,0.58655,0.82798,0.84154,0.53675,0.95081,0.70042,0.82211,0.47268,0.59692,0.86658,0.010712,0.36108,0.16178,0.71737,0.72175
0.4811,0.80965,0.51142,0.69649,0.78202,0.33391,0.90045,0.6118,0.8667,0.6651,0.66704,0.63705,0.06591,0.19487,0.1465,0.70146,0.62567
0.39743,0.61773,0.68627,0.27509,0.71508,0.26432,0.67528,0.44871,0.71411,0.31069,0.63589,0.34318,0.015144,0.086289,0.1652,0.63734,0.37662
